species,accession,sequence_length,sequence_sha256
M. perniciosa,AY317130.1,679,d1452727039b9f69d403c802d8c4006fcc2c8762d47cf283888857fe7e66994f
M. perniciosa,AY317131.1,679,802b5a45dcd6e50f18d25f508b32b39c1a3de20590e8995894001b3f3b69e60d
M. perniciosa,AY317132.1,679,2964cc2c9270bc0a402b82585d35cac02f7c4359b0090af04c8845e525f3ceaa
M. perniciosa,AY317133.1,679,70ca4f0e14e71af75b4770e421bfddfb86f8713750c1d9cca7559d115e81a8fa
M. perniciosa,AY317134.1,679,566057b9563d4b05712f4097fbd8020c63a27bad0a8d8b9197fa2093be225298
M. perniciosa,AY317135.1,679,1138fe5247a891e201e7f8d9c893f02601f9c12448c93c5a901368a1b2324f90
M. perniciosa,AY317136.1,679,0a7179ef928abba7c4f6fc45ed353fb870d1507468901eab16cc556d0967a70f
M. perniciosa,AY753996.1,743,2b0d270ddda64b2b6bd2d8d2582e6fa5bb9d0a7c6f024c5c9b340322605d8f06
M. perniciosa,AY916737.1,1171,9637dbed8f49f4fb7ccddf9b05fd24a2e0b9a0bb2049be03ad031375a88884e2
M. perniciosa,AY916738.1,934,38757b2f13779d6e7d3d17f9d09939a93655b5c69442c1d294f2da4eb5630906
M. perniciosa,AY916739.1,1757,ffda395aba157ab373f3f30ae29f4477eb7f8ea3781a4d2e79886f1b081afbac
M. perniciosa,AY916742.1,1201,a87be86dfad7610ea080e95366b54f3c4804fc9af97a32e93f4520b6a92b5438
M. perniciosa,AY916743.1,844,6b223909b03d331fa206d6eeff6d8aa78d398306746fa917f4f2e6576878c6a9
M. perniciosa,EU047929.1,782,faaf6ca2566256ab5d5b47c375fb5583cd07bfa872f395ebc19659558f835b83
M. perniciosa,EU047930.1,736,c67803154399844efd3153cfbd297a898b68558c4cdb0b5f81054ecf85a4b068
M. perniciosa,EU047931.1,786,338fd6cabdd587aceb4521ed3a253e95e5e798bb246e2b319ba0f70ccd83e8b2
M. perniciosa,EU047932.1,783,385739598b750ac5a9d4d1907f763f151223f4743283e1a32127fc4738c80538
M. perniciosa,EU047933.1,775,d262afb9a93eaf799843427d30d1f56b23e882398e9800cb8358ec9dde92accc
M. perniciosa,EU047934.1,775,d262afb9a93eaf799843427d30d1f56b23e882398e9800cb8358ec9dde92accc
M. perniciosa,EU047935.1,785,c501eaa4309b016d3981f7f5fb592bff8dbc8d4da4752972cfca3dcdd2596580
M. perniciosa,EU047936.1,770,e03c85347f7e9eb03757881db88c606577d854ef73c857727a634975b9a80af9
M. perniciosa,EU861393.1,619,9f061ac70fcf30044b4c0a8464ff961fa25a15118467f43035864b5311682eed
M. perniciosa,GQ919080.1,832,b95b2c1bef731fe3a242c4e2c48484ee02c704b392d1d62662416764966085a2
M. perniciosa,GQ919081.1,921,3338e3708887469c7e8043387cc1812c2b726bac4f1c989ef1ca40a32b6565eb
M. perniciosa,GQ919082.1,794,23ade1006b40adb8b2af254915b8928a5ebd153bf1727afb52a2e58032ccc290
M. perniciosa,GQ919083.1,926,0bb71739546fbe76a233c8bde93ab321d9b1ad6fb221ac98123bf50a06c03a00
M. perniciosa,GQ919084.1,725,a1277ca892a0dc3da88fab32a98e4fc30e44b0bdb01d06a63ceccd8c64b479e6
M. perniciosa,GQ919085.1,928,112ad0d0dcf6d21323fb04d559c368fafc8453ac34a60d1588b6ed53674d45f4
M. perniciosa,GQ919086.1,926,7cc3a56a34faf354d8a5c83b1bb78787510dcb92a0ee126451adbc4a0ac02f3b
M. perniciosa,GQ919087.1,898,e4f5ea80fdfa71303216dd7bf0259b2522b7ae998524f767bcdaf67db6b7500e
M. perniciosa,GQ919088.1,896,cec7851bd2e295cef6bb015637951d82c29fe2b37483fef66fa5ee9fa0899139
M. perniciosa,GQ919089.1,904,2060c82f43ce5a123435d246bb1b19cc0232dc6f65b78c2eadedcc9f67222407
M. perniciosa,GQ919090.1,929,b6528389eb2abe7161d5b24f872a72c2ba4736573e8c13ecf9d7a19120dbb289
M. perniciosa,GQ919091.1,892,2b03697d757fc77e2df9caf574f3a3805bc1e43b816004f45602412b1a13e298
M. perniciosa,GQ919092.1,925,8b19fe8d2bd26d90d3e9d8547a2a5fcf257cf55151afdc9db3b1e58a56bd4894
M. perniciosa,GQ919093.1,666,1815cd3098fd2f9bb52ba1b94e5b6cc1189eb01279a5e1b68553f133f4536359
M. perniciosa,GQ919094.1,933,881cbf299437e21dc8d8c33d7ad0410a69b06720f57398b886f363b01f2cbaad
M. perniciosa,GQ919095.1,881,849829eb636beb39c0ab0cd67532cbf22dc55ea354a034e2c4d042ffbf67c686
M. perniciosa,GQ919096.1,895,9382e397908b5d6e15cfdd0516da1c8a88a71b8b5a6b1c024831bdd7f4bf67db
M. perniciosa,GQ919097.1,949,ee84676744570f07f5adc63943b3e3630066af5027311033ef011bb78ebce0d8
M. perniciosa,GQ919098.1,914,af43e03f0aefce96fa4e6e894885c10576bc5e1af04996c75e8b54dc1321769a
M. perniciosa,GQ919099.1,898,f6d4dd4f4adbed4f8675fcc15d1d4cf491267aefc1e9b9ee85c6cd5c9c96a303
M. perniciosa,GQ919100.1,909,38b2aec9885e065ce0618ea32ada52486482c76465db0ca51c4421a465707efd
M. perniciosa,GQ919101.1,765,01291d92d942bf919ea0b726dce6e6b5755dbf26625f9d51c9e9600332068d04
M. perniciosa,GQ919102.1,880,256c9e62d2d5be5e0571ec79a4c18c8ab9006b0b4d221a1e316955d7540a5b32
M. perniciosa,GQ919103.1,919,c84f019840939adfe6d943cd3624486ae2552b7230661f83831d1cdcb734867c
M. perniciosa,GQ919104.1,846,b666d0cbc20744e4f81d500ae8ec8ccd6bef711f81975f882236454169fa62db
M. perniciosa,GQ919105.1,790,35b9490e0710304b45efed1abfaa472acf52f839d1fe054988b069d56b6e6320
M. perniciosa,GQ919106.1,925,a775607aa4b60d18dcc377fbe3b5ec25a2f089688295526ae651177fe853baf5
M. perniciosa,GQ919107.1,923,e53a567c94a8a63ccdce4a77e2195888566409499b1e0e2837cf38f0d6a3a31d
M. perniciosa,GQ919108.1,911,8e27d88cf316b4a9483188d5d304705209b7b9fe9ebde7b71521f2d4839bfd6f
M. perniciosa,GQ919109.1,688,e583d30bc18aeeb50b270e40f878dc0c6711b9fae346f381940d043cd2dbc8b5
M. perniciosa,GQ919110.1,918,12c74414db85ab26349dea9f5effbd76b65a7857576f5f6a410f09d0cb64280d
M. perniciosa,GQ919111.1,778,3b3446ce44fca34007c7ed856e2309068c9b2a654c38754da742189ce5386859
M. perniciosa,GQ919112.1,979,a0e355bac628d98ec4faeb456d002b00696f5af1e545efa286a30c35fcdfba08
M. perniciosa,GQ919113.1,837,418dc08e72df205e1cf0e535a8c2744ad5a788b3eab7b3817c24848be759a644
M. perniciosa,GQ919114.1,973,654e9bfc2fda5424c34fd99d8bb6ef4db3a5d0434c5f685bd414df4dafec2cdd
M. perniciosa,GQ919115.1,998,d6775f25d7c44957833ae9dc956995ac61539313439da9dc2002b7cafe0fdfe5
M. perniciosa,GQ919116.1,695,de1d9c5f3e2ff761c649233c704df22d5f66390517134b89ec1bc6d0730d18b0
M. perniciosa,GQ919117.1,708,64be3c4048744d5b54606336ba75159c1de02edbb6e1c7afc91fb0bc3d0560ab
M. perniciosa,GQ919118.1,680,a1eafc06713e8bfdab88439df74c56227c86f0542a037933ec46fdf62eba9049
M. perniciosa,GQ919119.1,699,fa62e87913541153a213a6d41f1cc852912c4d17774ee7ea9fa03c0ae5ebe33e
M. perniciosa,GQ919120.1,701,53792d2c6abfbf87610006cdb0842ca013e4217160beb2f358723ef0990a96c7
M. perniciosa,GQ919121.1,774,bea8dc2aba32a6fd9b4a081504f9174fbc21dbd28d50e7049624d9e99a2c3426
M. perniciosa,GQ919122.1,708,0eeeed591fb47e4dd930157d35a9b097718a8b24f0f06803f899540b3618c0e6
M. perniciosa,GQ919123.1,676,cbd868166e331f1c7c91cb2fd4019d407f3c94d72b51f1a1405cd684c3781d29
M. perniciosa,GQ919124.1,703,eb3a8f5b5b687b61116125a94e390a807023294654b2831687f43b2cf26e349c
M. perniciosa,GQ919125.1,735,9f2bf08090e3eb60d75da7ba26333d389d6e612a26e0778bbc72cfd36d4efa16
M. perniciosa,GQ919126.1,709,fb76693717d28d8ba670187e5aaf427e8958a6376838dc6981a0f875e75592c5
M. perniciosa,GQ919127.1,701,c8d90f275f2ba92e387e8b1d4edeb93dc0a23c487850cae9c60f3070b98eecdf
M. perniciosa,GQ919128.1,692,365073d7227cb2c059d2c3c30cfb4605bb35e09cba9f18a88b108464036e2086
M. perniciosa,GQ919129.1,690,416a0319a832c9d3632793c72e8e66ac48e2425b8c50cd63c7d06fd08555fa50
M. perniciosa,GQ919130.1,694,441c56dadcc836b2dc9b44761c8b0dff2ea4d9d7c713bc3757f40550aea5e2ea
M. perniciosa,GQ919131.1,705,41919e49da2de3e8b2eb0591bf1a4bdefa174bcaaf9f171e67c68152aff03502
M. perniciosa,GQ919132.1,705,f6d9689cc2a3b3e1cd331c3197df4bb2715d8be0be9a369f06b577363a5a7efe
M. perniciosa,GQ919133.1,700,0b3cd2efd83fb0e76a40b95ad8c1d5b50035a833328813575b5f6ab3f9bba312
M. perniciosa,GQ919134.1,684,ce4daea7c3b975de67c78c766f5f7eeae5844670402c71d1fc0f47ce4bdb0f5d
M. perniciosa,GQ919135.1,708,38e684dca3879fb898d46fd698a8cfe78a6927f47ed300c540c0ea6f81a8d722
M. perniciosa,GQ919136.1,700,1ac85dabfe7ac602bff6b3cbce6cc5f0424f0666ae30279a3d8b2fa068c0115a
M. perniciosa,GQ919137.1,691,25c12d1607896edb474cdef492a0d1b992e1927e0fe2d37b7eb5294b9ae31299
M. perniciosa,GQ919138.1,707,a5ed0d688d2d75a120169f20ea908aed1e066e4b78e45ada0fe083ab1673e490
M. perniciosa,GQ919139.1,716,25618a87ddbc6fa0690a2aebd17ab4d9d34ed885a3c48916b50e5183ced766f4
M. perniciosa,GQ919140.1,701,72b5128f4bf9ac2aadcc2c55a63ffab535a255a68dd4909862b0d02d6061e3d7
M. perniciosa,GQ919141.1,698,dd19e6c3c875c2379bc93da576acf8557f1fbbf27ba38fc57e76589a9f928bb1
M. perniciosa,GQ919142.1,710,fff39a6b6fab1e87ba411a32ee3eea75cbfbba5bc88f98eb20b7ac8eea8e9eb2
M. perniciosa,GQ919143.1,708,df93275163f1129b3af07f172c3bdf9a120e45a6663a0070dbba5c04185a172c
M. perniciosa,GQ919144.1,693,73dff3dd54c4f6b0625e8ce5b97dde553ebdcd43807afebbb9633fdad68da698
M. perniciosa,GQ919145.1,715,154bf050b3851b1ffa89ca713ec044a8fbb1ddd5dd15dd459eebb2b118fee274
M. perniciosa,GQ919146.1,758,24cd9ff517d9246a645716c8ba454ebdd8abb1f691dacc3339afd109d6cc0a8f
M. perniciosa,GQ919147.1,700,04e19679a188932ff539f7250a7155397e18edb72fa0d50cde275756b2baaade
M. perniciosa,GQ919148.1,709,557f573d10a601c1863c4a02d1ed6cd008565337ab2052fc75fd9cd184174bda
M. perniciosa,GQ919149.1,711,2167539e0d2b53b0c0b398130c1f5fd029645b6c9a5f511e9b1885dcd98a3039
M. perniciosa,GQ919150.1,716,b8cf87a64fa407a95b660a300af3bf7802d6130e370b84761aa96176161d9488
M. perniciosa,GQ919151.1,684,09df40578870b3f141feb3c5988182b4308515f4913c8b43a07d52be52bd65f4
M. perniciosa,KX913222.1,564,a9a08c53bef349443b29ed3601a29e57a4cb7e40ff0ebd71d58eea4456780236
M. perniciosa,KX913223.1,650,e02ed425f7241829d30a47adaa3341666d297861e1accb5762621b791ef202f7
M. perniciosa,KX913224.1,637,98b10f088215e10a54563c1c68df4c88a09e67bbc1aec8ef46fd71ddaf058c86
M. perniciosa,KX913225.1,636,30234ea7276820b155ad8eec422f00227dbbbbb801f3057e8e34c0b3cae48240
M. perniciosa,KX913226.1,637,782d9274ab8ed38d08dfa5eabc49254a08e9c96d1bb604a91fd544788bf0f8d1
M. perniciosa,KX913227.1,639,6e22f47fbc98b47554bf3aea5a59f3d49e73ecd5c02f51a4bd232d4e17753217
M. perniciosa,KX913228.1,652,fbb06fe23bfdaa81707e082a0876601f358734d6ce5425f9d270931cb0b86243
M. perniciosa,KX913229.1,389,7545a7655625514c6fd61c746297fcbbeb52de4d1379672824a11ebce594cce7
M. perniciosa,KX913230.1,641,875ae84da04cdb2a860e22cf591b47bfe4d9bb62ed49b8316e018bb0f0364dd6
M. perniciosa,KX913231.1,701,ade78f89449df9d12ea2b24ab429a5a8b8f85bb3fd0480c0394ca543ed7ef0d5
M. perniciosa,KX913232.1,716,fade085f645656ba8bd65cff78fc109ca2ff909b155f8eca58e2cc35a22acc0e
M. perniciosa,KX913233.1,661,efa983ca0425f694cf81e5d2edf72125560cc74976dc64e307911f1d7a3bd809
M. perniciosa,KX913234.1,643,1886623dfc76f58ad6391481349eb4c03f1650c4973d0de6f01f538c0eb42b78
M. perniciosa,KX913235.1,715,936048dc5246ae40dbf29f6efc56b5a5ab0306ed4bf9d3b4314adf6fb9f51252
M. perniciosa,KX913236.1,647,9de90b54b8d890013fdb9dd04e0adb4d03ec2cf81cdfd39dfb78256c2b66c033
M. perniciosa,KX913237.1,703,f75b30d88671b1e9b804a1386a84e0f8270e01f6bfee36a47e22e56bbddb7715
M. perniciosa,KX913238.1,711,1e0ebc3590246b9417cf3d193d82712f0ef8a904e35d7fbe382373d27308865c
M. perniciosa,KX913239.1,662,7c5f218720b2adbea3ddddb88a2917cc2cb83faecd9bf053fbdd0760066bf488
M. perniciosa,KX913240.1,659,2e90eccfc9a34e478a4ae55955d4789b4b54705bfc458014b5d43bc935e08d7e
M. perniciosa,KX913241.1,662,9af8983657b32bd46d378526ade8448b73336f82e8864d66c335eab9d1709a4a
M. perniciosa,KX913242.1,663,802eb745eb31254b4fbd0dfeaf4b1abf7433b5fc84832c53f923204c7c1ddee2
M. perniciosa,KX913243.1,707,f2e97db1799e760574f5808736e776468c08f3f14f3ee034756177bce7b538ee
M. perniciosa,KX913244.1,680,43ee2c4d605359055c2cf5bef3085a10b298bade7ecf96030ef8201b9110ed7e
M. perniciosa,KX913245.1,663,f06222e86bb1cc8123280b81b2fd050e30e33fb45570908413ac6c2b40da7db1
M. perniciosa,KX913246.1,706,ed6ca0746a62e8e44c4abd89dd9bcfdcc1019f372f55a388bbba4329045c7c4a
M. perniciosa,KX913247.1,671,1283153458e7186df8967a3a2b7146e1d6fbb11f92f15c6609ddca7c4ef6d798
M. perniciosa,KX913248.1,691,f09c7b6e04fd6525d46d4e7da2bdb9f73c9ff97989db6631d9896abf4a8ccbe8
M. perniciosa,KX913249.1,712,4c430a121137bd34a68055bd00f66b5b7dd81eb1b1e5fac22861e23fd5f94f88
M. perniciosa,KX913250.1,703,afb85edfd942757a11cedbae9e43ee582856001740b11f8b06fcb6684337f46e
M. perniciosa,KX913251.1,517,4f4aba583be0ec8e417d28ac08e51ba6984007ff062c4cd7ef0edd6b87ef3142
M. perniciosa,KX913252.1,701,0eed368089d4c278d6303c53c55c85801b3624257de61a0671a7508357a46dab
M. perniciosa,KX913253.1,655,a43782e567e2fc99b053197ba32b41fcbf32bcf6a582e36917a9720ac44e1016
M. perniciosa,KX913254.1,628,657a3732dc76d9564f3262647c2205eaeca0cb0b997471f4af47a97bd0b567b7
M. perniciosa,KX913255.1,599,931ec23e699365f689fac415d29cfe2f213d8dc552461bb8aa37906946e015e3
M. perniciosa,KY081760.1,657,5cd02c46e61d3bffc1cd048cd8c0a66af4083476377026ff2a1d7c4cb4eded8e
M. perniciosa,KY081761.1,657,dbed5439f7b6a5c2514c0572e8aae3b3ce3c67a7c6b59ca083e00178b8ff434c
M. perniciosa,KY081762.1,661,4fd7a789f3defc2fa3b07b7f1365cef976e0e8768b224ff00bec3fc5f714245a
M. perniciosa,KY081763.1,661,4fd7a789f3defc2fa3b07b7f1365cef976e0e8768b224ff00bec3fc5f714245a
M. perniciosa,KY081764.1,660,9ee9b579ecae3ddc4a0708556363a958fb0b2e37ce47d0cd2f92384bb185c478
M. perniciosa,KY081765.1,661,9a3914411f84a1d4dd5fa12c971952186f1ad40548b91bdec87217a3fa49c504
M. perniciosa,KY081766.1,661,c7703456eaf8eaa72b029febd1a0d9dfc64bf448ff1c6f7340e1b55ced67b497
M. perniciosa,KY081767.1,696,67306f8934e74a3aae0c89d6bf354ab51ef024fe8298464c6b4f95b7710afe59
M. perniciosa,KY081768.1,672,745d29c5d72185cd8cc046a56e3bc6fc2b4ac1e22f991422870f8b65e5885f5e
M. perniciosa,KY081769.1,660,98b45e55edd0e3c7baff379f73232db3799e9623c26363b9fff624e9eb4e7856
M. perniciosa,KY081770.1,657,2d53e0866193f2f9de5c8100a5b6152bf158da66ce43e5f3b8e2b313ef9ce2b6
M. perniciosa,KY081771.1,657,dbed5439f7b6a5c2514c0572e8aae3b3ce3c67a7c6b59ca083e00178b8ff434c
M. perniciosa,MF495374.1,649,6ace06d1c06a9599bbcf3c670a1e7eed8c553cbabd326d45a65c030e00043b00
M. perniciosa,MG717342.1,1106,49589ec58cb73bf5a44ff3484886dba5f9ff70acf2321c63337b727ff23013f7
M. perniciosa,MH856652.1,750,605031829013f99f4f70ef35f27eefabd3d7ab1c2524d56e399d9970e46ecca6
M. perniciosa,MH861049.1,746,ac6772cf021b01750cba202d43c680ba3f407e0dca9c528e32768f39f9878bbf
M. perniciosa,MH868165.1,848,7352722b249068b806a002fa5848c5c79429896c378108161bc0ebf6b0a2d924
M. perniciosa,MH872817.1,918,b9dc8408c071e7fa2b4f11428e603b1863a1bed143334e8ea983edc6b686b515
M. perniciosa,MK785139.1,712,726bf9e47df36ef2ec5dc30e26c76cd39946d8c9ef37343d8ce1f248ffc29608
M. perniciosa,MK785140.1,745,2e317dfcddfddc154d675957b1d38edcf41fdae9362a6541b937d507a7c3599d
M. perniciosa,MK785141.1,734,28dd5ac70366d684467baac278b01a598e7f3a70f07ff2c3e47534e840f5d38d
M. perniciosa,MK785142.1,735,cb094d4f461c2103f92d7ba35386932c54c1578ec9d24636075a19bfe8cd8679
M. perniciosa,MK785143.1,733,80f8fc4abb570d5bd9974e4a42d1b544d276bebc60cfd3d9219b5ff92cc2e1af
M. perniciosa,MK785144.1,737,73b4c1bc02a10680be2d4dfd46be69678b57a3a32c7304ef5d8b93994ca7acdd
M. perniciosa,MK785145.1,549,d7e4df625e33a4a93ea9828d7f311d55439a14caadf1e4027edc7405481ff4a8
M. perniciosa,MK785146.1,755,9dd7a6407137bd85d1b6ddf88a449275f0b2641a07e1133d405a468ce635bdb5
M. perniciosa,MK785147.1,735,8f408d2feac95140ed30bcaba73fc9d0e90b5bd98ee616669a5b3e185955a6d4
M. perniciosa,MK785148.1,746,06328629014543f3e531aa8dc08c5ac25b78cee422772ea6c987bd36ab80e771
M. perniciosa,MK785149.1,757,6510b53e32af994fe3b27aeb0d69488dafdc824eb5d5236bde1bc00d5a2c35b4
M. perniciosa,MK785150.1,766,353c8aee06e98b5eb98e3a1220a29fe5af3c23e907b29208b1b2301976177df0
M. perniciosa,MK785151.1,763,0ea6f64d2a00e0a529a001bf19ed0b871314aeb5ff420d0e7bb0885eae94b359
M. perniciosa,MK785152.1,763,66cf5bba3ac925f3b98d5689b3169b8d2247f70592a6ed4cd70b81540fb6fe90
M. perniciosa,MK785153.1,743,4b6331f3204cb6640ebe7bde67fc869bd9a5f2bbed6fef9ba7542b6da753d4c3
M. perniciosa,MK785154.1,765,9889ab891e4f7765a1152234980ce1239a0011d2fcd4dbcc3108011d3bd31740
M. perniciosa,MK785155.1,749,d4f8df9e3ba4c6e38b86d4df1670b0d4209f4cd3d202f9463166f43a24581bb6
M. perniciosa,MK785156.1,749,67daa548e7198c6e4f902af3fd1f17ebd13a1bd8a93014f5be4b281119970f6d
M. perniciosa,MK785157.1,746,682302b8c7b3a122319d39d968163b15328549bb968b026778c107388d79a1ef
M. perniciosa,MK785158.1,751,da4c2c11d838a7517b9841e1d7a1abcb7ca4b0ff28c5e2a792ae886c8524d36a
M. perniciosa,MK785159.1,488,e700e46473fc00898892f0ba037c88bb08c88d464cccc6dc55627fcd8ce8ebaf
M. perniciosa,MK785160.1,688,010bdb417d1ab6d51d48fd845512c0bd9fdabc6255dab3bf656bbed022030cfb
M. perniciosa,MK785161.1,739,8b98e907a7f132da62bec13aebbf3c53b9439bc15d202afe96ccb521dd5b87d1
M. perniciosa,MK785162.1,704,5af67a6ce3f30c2b7479549f23c67d9acbcd02c1ec9b946c9161fe50f0aa9b3c
M. perniciosa,MK785163.1,749,d40d5c43cf344d7a0ae6887bf6d4a7de254fd43646ced2ede67f520e5866d15e
M. perniciosa,MK785236.1,878,54a488cef8079978d07fe75edf51c87f3669ad0db8d82fd01bbb5461462c9f93
M. perniciosa,MK785237.1,876,c5cdfb10b0de438d8df291e755f0506bec6f4cca0b7125f657567559b471057d
M. perniciosa,MK785238.1,869,6199526c669ea96772e9c46deb13ae463e957c19458dad3f9a5fe95f398623f7
M. perniciosa,MK785239.1,873,285e26a565aaa66b2ec65f03b9d74b166349b4dd8ae6a35a7ec8660ef9ef5c11
M. perniciosa,MK785240.1,878,5544dfa7b150680ee24e6a2034d51a4928d7668437f73fc1c7823daf9efc6c66
M. perniciosa,MK785241.1,875,45fc2343cb8ba4ed98cc214ceea2eba269b53ecc58c592ab2480c0f46203d408
M. perniciosa,MK785242.1,882,6cb19c554c1522c67626172a8968311aed64a8ff81e6ea8ef517228108aed9e3
M. perniciosa,MK785243.1,872,49d3d9511204cfbad556ca52ca40e08bf9992a077e31851d8f650fad35c4e9d2
M. perniciosa,MK785244.1,871,00d623c4d75377178667c7fdd404c55b7e95a8e9fab42dfc643106ef80c55976
M. perniciosa,MK785245.1,874,f3510599f3ec7f5df9a18241cb34b8ec0743392cba3bb36d562b77377bd61ef6
M. perniciosa,MK785246.1,878,5544dfa7b150680ee24e6a2034d51a4928d7668437f73fc1c7823daf9efc6c66
M. perniciosa,MK785247.1,878,5544dfa7b150680ee24e6a2034d51a4928d7668437f73fc1c7823daf9efc6c66
M. perniciosa,MK785248.1,875,ad8a0b4646a0e545731636bcaa07557fc2970b1a69c55601c2894a9d3bbab2ea
M. perniciosa,MK785249.1,877,4d1ff1336f13603086ac8a08d77029e9abd0497ef9340738d1145f67d5dc2cfe
M. perniciosa,MK785250.1,876,b2d63a789812b6a7cff68ba75d2112c825ebe095e72e8c98425c760c84111ad1
M. perniciosa,MK785251.1,871,d77fcdc3036e263be5e92cd50f78f29e79fdc954083266b8699e99897bb3290b
M. perniciosa,MK785252.1,873,346f10a5a1fd5bc6806e8b7d5525bd725d785a6086ace5f575e4b3f7afe4eec1
M. perniciosa,MK785253.1,878,2ecd55bd59e317ccbbad3a756b5c74547e699e3faca9bbefec32bd8f22f27fa2
M. perniciosa,MK785254.1,876,b2d63a789812b6a7cff68ba75d2112c825ebe095e72e8c98425c760c84111ad1
M. perniciosa,OM056947.1,665,4cf5440baf411cb270ebe71dad9397b2c3b233bf919d2851c6f9d190c7f0cbbc
M. perniciosa,OM777731.1,728,0edfb5acbcc96e00f8ef5b682d02ddf17cdd3ae5ae91de36ca280b8a8e68a099
M. perniciosa,OM777732.1,500,88730827123e60592bd657f714fdbf5f31f73f2d41ffe53193464dfda7e6d72a
M. perniciosa,OM777742.1,673,1808dfdf7dab42f62b0e84804c10ff07ffe910098d5ead2191d444a41484d004
M. perniciosa,ON692937.1,749,206797c2cb99d91161bb0e5303892c38ddecff0306b310a87257f3bd99b19932
M. perniciosa,ON692938.1,749,aed3b5ce780c8654b393fccace3805b44ff1e0dd646e8a846a451731951e0658
M. perniciosa,ON692946.1,738,d1618639d9a527a75f800b7303619facd1623ddb5b7a60e470cf9e5640ddb220
M. perniciosa,ON692947.1,728,e9070ffabc18cce545fb3d549a626da65108556019c47ea4cbb149d91a8d7a4b
M. perniciosa,ON692948.1,680,40ccfaa4f8a71fdfa4a28b615e9e1a125e389c971f7edba919f31bf541f24263
M. perniciosa,ON692949.1,740,28748888c069f6f34f45d916d8c7f4f9d6cc47474bbe0bc51fb7cc1a77b8e606
M. perniciosa,ON692950.1,695,200b734218449b06e43fd66660954b0fc9068f7cefc5e0debd690a38243a9219
M. perniciosa,OP651765.1,683,3f049f5c694e1926a7a674a49e64bfb2395252a9ac616dcc47594f85607e6eb7
M. perniciosa,OP937176.1,867,c0a930b3a8299927b4b84c7eadb7cd94beb059dbe7fca002d2ce21edf47016d2
M. perniciosa,OP937177.1,868,9dc3f2daed1c521e7837a6dc274d5e74d3c4d4e4b9e59cf1929fa741638ffb40
M. perniciosa,OP937981.1,699,7edabf92f5e6d4eddb5fbe780009ced1f6b369645887013abf748709f5495f43
